event_date,event_timestamp,event_name,event_value_in_usd,user_id,user_pseudo_id,user_first_touch_timestamp,category,mobile_model_name,mobile_brand_name,operating_system,language,is_limited_ad_tracking,browser,browser_version,country,medium,name,traffic_source,platform,total_item_quantity,purchase_revenue_in_usd,refund_value_in_usd,shipping_value_in_usd,tax_value_in_usd,transaction_id,page_title,page_location,source,page_referrer,campaign
20210125,1611601482799677,scroll,,,2569739.8101031899,1573969998648275,desktop,Edge,Microsoft,Web,en-us,No,Edge,87.0,Canada,cpc,<Other>,google,WEB,,,,,,,New | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/New,,,
20201202,1606894766180739,user_engagement,,,54997985.4560685125,1606894519917518,desktop,Edge,Microsoft,Windows,,No,Edge,87.0,India,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,google,,<Other>
20201204,1607068404343536,view_item,,,67357054.9566811359,1607067937521491,desktop,Edge,Microsoft,Web,,No,Edge,87.0,Greece,cpc,<Other>,google,WEB,1,,,,,(not set),Drinkware | Lifestyle | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Drinkware,,https://shop.googlemerchandisestore.com/basket.html?,
20210104,1609754818275325,first_visit,,,8741600.9025835554,1609754818275325,desktop,Edge,Microsoft,Windows,es-es,No,Edge,<Other>,China,cpc,<Other>,google,WEB,,,,,,,Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,,,
20201130,1606735229233966,page_view,,,11341074.5770059189,1606735110889754,desktop,Edge,Microsoft,Web,,No,Edge,87.0,Australia,cpc,<Other>,google,WEB,,,,,,,Stationery | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Stationery,,,
20201130,1606735493541839,view_item,,,11341074.5770059189,1606735110889754,desktop,Edge,Microsoft,Web,,No,Edge,87.0,Australia,cpc,<Other>,google,WEB,,,,,,(not set),Google Land & Sea French Terry Sweatshirt,https://shop.googlemerchandisestore.com/Google+Redesign/Google+Land+and+Sea+French+Terry+Sweatshirt,,,
20201102,1604350368684407,user_engagement,,,6606224.6414734613,1604350361264248,desktop,Edge,Microsoft,Web,en-us,No,Edge,<Other>,Mexico,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20210125,1611536612793022,page_view,,,59652303.7334535516,1611536607744373,desktop,Edge,Microsoft,Web,,No,Edge,87.0,Belgium,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20210102,1609623810866506,page_view,,,23782029.6054560803,1609623807148242,desktop,Edge,Microsoft,Windows,en-us,No,Edge,87.0,India,cpc,<Other>,google,WEB,,,,,,,Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,,,
20210115,1610685244827950,page_view,,,44320621.0150037740,1610685239811891,desktop,Edge,Microsoft,Web,,No,Edge,87.0,Germany,cpc,<Other>,google,WEB,,,,,,,YouTube | Shop by Brand | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/YouTube,,,
20201204,1607068310514374,view_item,,,67357054.9566811359,1607067937521491,desktop,Edge,Microsoft,Web,,No,Edge,87.0,Greece,cpc,<Other>,google,WEB,,,,,,(not set),Google Thermal Tumbler Navy,https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Thermal+Tumbler+Navy,,https://shop.googlemerchandisestore.com/basket.html?,
20201204,1607068435154440,page_view,,,67357054.9566811359,1607067937521491,desktop,Edge,Microsoft,Web,,No,Edge,87.0,Greece,cpc,<Other>,google,WEB,,,,,,,Shopping Cart,https://shop.googlemerchandisestore.com/basket.html,,,
20210125,1611605276288338,page_view,,,3214222.1801065676,1611605271273696,desktop,Edge,Microsoft,Web,en-us,No,Edge,86.0,Ireland,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20210125,1611536707060656,view_item,,,59652303.7334535516,1611536607744373,desktop,Edge,Microsoft,Web,,No,Edge,87.0,Belgium,cpc,<Other>,google,WEB,,,,,,(not set),Men's / Unisex | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/?,(referral)
20201208,1607432150597418,user_engagement,,,25788756.2241190456,1607432117561614,desktop,Edge,Microsoft,Windows,en-us,No,Edge,87.0,Germany,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201103,1604401521813584,scroll,,,11390645.9700018055,1604401428159973,desktop,Edge,Microsoft,Web,,No,Edge,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,google,,(organic)
20201208,1607465884301182,page_view,,,15068969.4294022313,1607465845352113,desktop,Edge,Microsoft,Web,,No,Edge,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,https://shop.googlemerchandisestore.com/signin.html?,
